Nom;SIRET;SIREN;Adresse;Code Postal;Ville;Téléphone;Code NAF;Catégorie;Zone Recherche;Secteur S&Y
AIGLE AUTO;85251679800026;852516798;6 ZAMIN 2EME AVENUE 59000 LILLE;59000;LILLE;+33 4 76 87 56 94;45.20A;garage;Lille;BTP / Mécanique
MOUSTAPHA AZAOUAGH (MI PNEUS AUTOS);85294809000034;852948090;21 RUE SALEMBIER 59260 LILLE;59260;LILLE;+33 6 51 86 02 30;45.20A;garage;Lille;BTP / Mécanique
L.S.AUTOS;52239098800015;522390988;13 B RUE DES OEILLETS 59000 LILLE;59000;LILLE;+33 4 30 00 00 08;45.20A;garage;Lille;BTP / Mécanique
FABRICE LAGACHE-VANWAES (LAGACHE) (LUXE CLEANER);89972307600027;899723076;RDC 27 RUE VAUCANSON 59800 LILLE;59800;LILLE;+33 7 74 85 12 48;45.20A;garage;Lille;BTP / Mécanique
OPTI'MOTORS (MECANO'MOBILE);88967706800013;889677068;3 BOULEVARD DE BELFORT 59000 LILLE;59000;LILLE;+33 6 95 36 68 12;45.20A;garage;Lille;BTP / Mécanique
ZINGAMENA MORAIS (ZVM-AUTOMOBILE);89119174400012;891191744;APPT 4 ETG 4 13 Q RUE LAMARTINE (LILLE) 59000 LILLE;59000;LILLE;+33 3 20 57 29 67;45.20A;garage;Lille;BTP / Mécanique
NORD PARE BRISE;90868947400017;908689474;229 RUE DE SOLFERINO 59000 LILLE;59000;LILLE;+33 2 34 88 20 92;45.20A;garage;Lille;BTP / Mécanique
AUTOWASH;90972507900018;909725079;229 RUE DE SOLFERINO 59000 LILLE;59000;LILLE;+33 3 44 75 10 44;45.20A;garage;Lille;BTP / Mécanique
EVERY CARS (EVERY CARS);92772911100017;927729111;229 RUE DE SOLFERINO 59000 LILLE;59000;LILLE;+33 6 65 36 16 40;45.20A;garage;Lille;BTP / Mécanique
MSI MOTORS;92796344700010;927963447;2 RUE DE CANNES 59000 LILLE;59000;LILLE;+33 3 28 54 12 21;45.20A;garage;Lille;BTP / Mécanique
STEVEN WATTEYNE;92809545400023;928095454;679 AVENUE DE LA REPUBLIQUE (LILLE) 59800 LILLE;59800;LILLE;+33 3 28 55 50 00;45.20A;garage;Lille;BTP / Mécanique
JEFFREY BOURSIER (SUPREME AUTO);92861720800014;928617208;229 RUE DE SOLFERINO 59000 LILLE;59000;LILLE;+33 6 21 55 65 61;45.20A;garage;Lille;BTP / Mécanique
EXPRESS AUTO DETAILING (EXPRESS AUTO DETAILING);92905352800014;929053528;4 RUE MARX DORMOY 59000 LILLE;59000;LILLE;+33 7 49 71 83 17;45.20A;garage;Lille;BTP / Mécanique
ZAKARIA SOULIMANE (LAVE & CO);90055882600013;900558826;81 BOULEVARD MONTEBELLO 59000 LILLE;59000;LILLE;+33 6 40 81 91 52;45.20A;garage;Lille;BTP / Mécanique
POLITA;85117768300014;851177683;3 BOULEVARD DE BELFORT 59000 LILLE;59000;LILLE;+33 3 84 33 04 77;45.20A;garage;Lille;BTP / Mécanique
AUTOWORKS TD;93964156900016;939641569;33 RUE VICTOR TILMANT 59000 LILLE;59000;LILLE;+33 3 66 19 18 74;45.20A;garage;Lille;BTP / Mécanique
JPM;94084920100014;940849201;44 RUE DESIRE THERBY 59260 LILLE;59260;LILLE;+33 9 52 48 06 51;45.20A;garage;Lille;BTP / Mécanique
SULLYVAN TUYBENS (NET'AUTO);93457139900013;934571399;APPT8 16 RUE DE CONSTANTINE 59000 LILLE;59000;LILLE;+33 6 83 76 64 12;45.20A;garage;Lille;BTP / Mécanique
CAR'EXPERT CARROSSERIE;93509323700011;935093237;208 RUE DU FAUBOURG D'ARRAS 59000 LILLE;59000;LILLE;+33 3 20 04 77 84;45.20A;garage;Lille;BTP / Mécanique
CORENTIN MONCHEAUX (TRANSPORT RAPIDE MONCHEAUX);91789438800011;917894388;APPT 11 9 RUE D'ANGLETERRE 59800 LILLE;59800;LILLE;+33 6 60 45 30 04;45.20A;garage;Lille;BTP / Mécanique
IDV LOMME (FRANCE PARE BRISE);95250319100019;952503191;115 RUE DES FUSILLES 59160 LILLE;59160;LILLE;+33 3 20 08 59 70;45.20A;garage;Lille;BTP / Mécanique
WESLEY REGNIER (CLEANING CARS WES);95329096200018;953290962;45 RUE JEAN-BAPTISTE DUMAS 59160 LILLE;59160;LILLE;+33 3 20 72 21 03;45.20A;garage;Lille;BTP / Mécanique
D'FIRST CAR (D'FIRST CAR) (0);97918949500018;979189495;13 RUE WULVERICK 59160 LILLE;59160;LILLE;+33 7 86 17 12 32;45.20A;garage;Lille;BTP / Mécanique
MILOUD KADA;98162673200011;981626732;91 RUE VICTOR HUGO (LOMME) 59000 LILLE;59000;LILLE;+33 9 51 26 23 41;45.20A;garage;Lille;BTP / Mécanique
MAJID HABROUCHE (PP SERVICE);98916360500011;989163605;74 BOULEVARD DE METZ 59000 LILLE;59000;LILLE;+33 7 58 46 32 07;45.20A;garage;Lille;BTP / Mécanique
CAMPARE-BRISE (CENTRAL PARE-BRISE LILLE);98966120200022;989661202;41 RUE JACQUEMARS GIELEE 59800 LILLE;59800;LILLE;+33 3 62 26 37 30;45.20A;garage;Lille;BTP / Mécanique
GHANEM ABDELMOUMENE;98990057600012;989900576;BAT 13 ETG 2 APP 2223 13 RUE GISELE CASADESUS 59160 LILLE;59160;LILLE;+33 3 20 51 42 75;45.20A;garage;Lille;BTP / Mécanique
SAMET UZAN (MS AUTO);99077581900016;990775819;1 RUE DUBRUNFAUT 59800 LILLE;59800;LILLE;+33 3 59 61 29 35;45.20A;garage;Lille;BTP / Mécanique
MASTER GLASS+;99098806500019;990988065;17 RUE AMBROISE PARE (LILLE) 59800 LILLE;59800;LILLE;+33 6 78 21 56 80;45.20A;garage;Lille;BTP / Mécanique
RELAIS PARE BRISE;99124267800019;991242678;509 AVENUE DE DUNKERQUE (LOMME) 59160 LILLE;59160;LILLE;+33 1 64 90 66 36;45.20A;garage;Lille;BTP / Mécanique
MUMTAZ AUTOS;99187466000012;991874660;19 BOULEVARD DE METZ 59000 LILLE;59000;LILLE;+33 3 20 46 89 94;45.20A;garage;Lille;BTP / Mécanique
GLASSNORD;99275034900019;992750349;41 RUE JACQUEMARS GIELEE 59800 LILLE;59800;LILLE;+33 6 67 88 22 91;45.20A;garage;Lille;BTP / Mécanique
IBRAHIM YOUSSOUF (GARAGE COM);99536997200014;995369972;DE L'ILOT C 35 RUE DES FRERES LUMIERE 59000 LILLE;59000;LILLE;+33 3 20 19 66 45;45.20A;garage;Lille;BTP / Mécanique
AUTO CLES GREEN (AUTO CLES GREEN);10056829400019;100568294;REZ DE CHAUSSEE 19 RUE SAINT-PIERRE SAINT-PAUL 59000 LILLE;59000;LILLE;+33 3 20 68 14 93;45.20A;garage;Lille;BTP / Mécanique
RM AUTOS SERVICES;10152303300013;101523033;229 RUE DE SOLFERINO 59800 LILLE;59800;LILLE;+33 6 89 16 47 48;45.20A;garage;Lille;BTP / Mécanique
E.B CARROSSERIE;89452975900017;894529759;56 RUE DES MONTAGNARDS 59800 LILLE;59800;LILLE;+33 4 50 57 80 92;45.20A;garage;Lille;BTP / Mécanique
PAL (PREMIUM AUTO LILLE);99435712700012;994357127;4 RUE RUBENS 59800 LILLE;59800;LILLE;+33 3 20 91 20 71;45.20A;garage;Lille;BTP / Mécanique
DMSKM CAR SERVICES;10107826900012;101078269;3 BOULEVARD DE BELFORT 59000 LILLE;59000;LILLE;+33 7 58 46 32 07;45.20A;garage;Lille;BTP / Mécanique
N.P.S. (N.P.S.);48448956200021;484489562;16 PLACE DU GENERAL DE GAULLE 59800 LILLE;59800;LILLE;+33 2 54 75 91 69;45.20A;garage;Lille;BTP / Mécanique
SARL ROSIKON THOMAS;43222628000019;432226280;17 A 25 17 RUE ROGER SALENGRO 59260 LILLE;59260;LILLE;+33 5 44 31 59 01;50.5Z;garage;Lille;BTP / Mécanique
K-MOBILE;49973859900012;499738599;128 RUE DE WAZEMMES 59000 LILLE;59000;LILLE;+33 3 27 08 65 74;47.42Z;garage;Lille;BTP / Mécanique
ADPL (FRANCE PARE BRISE);53739240900018;537392409;44 B RUE DU FAUBOURG D'ARRAS 59000 LILLE;59000;LILLE;+33 3 62 26 03 10;45.20A;garage;Lille;BTP / Mécanique
MAT & MO;79271647400012;792716474;12 AVENUE DE LA REPUBLIQUE (LOMME) 59000 LILLE;59000;LILLE;+33 3 66 19 15 60;45.20A;garage;Lille;BTP / Mécanique
AUTOMOBILE DU DRONCKAERT (AUTOMOBILE DU DRONCKAERT);79287120400022;792871204;253 BOULEVARD DE LEEDS 59777 LILLE;59777;LILLE;+33 3 20 63 99 88;45.20A;garage;Lille;BTP / Mécanique
MOHAMED FATH ALLAH;79864580000011;798645800;PORTE 8 50 RUE LEON BLUM 59000 LILLE;59000;LILLE;+33 9 55 97 15 10;45.20A;garage;Lille;BTP / Mécanique
VALAUTO METROPOLE;40308484100028;403084841;528 AVENUE DE DUNKERQUE (LOMME) 59000 LILLE;59000;LILLE;+33 3 20 82 13 46;45.20A;garage;Lille;BTP / Mécanique
AMEDEE LICTEVOUT (ATELIER AMEDEE);39910237500017;399102375;910 AVENUE DE DUNKERQUE (LOMME) 59000 LILLE;59000;LILLE;+33 3 20 72 39 39;50.2Z;garage;Lille;BTP / Mécanique
TSHIBALA KALONJI (GARAGE CENASAL MOBILE);39350710800024;393507108;APPT 16 77 RUE BALZAC 59000 LILLE;59000;LILLE;+33 3 59 82 80 72;45.20A;garage;Lille;BTP / Mécanique
NORD PARE-BRISE (GLASSEO);30657595200032;306575952;117-119 117 RUE DE CANTELEU 59000 LILLE;59000;LILLE;+33 5 56 03 49 82;50.3B;garage;Lille;BTP / Mécanique
LE GARAGE;40041707700015;400417077;37 RUE DE LA JUSTICE 59000 LILLE;59000;LILLE;+33 1 43 62 62 12;45.20A;garage;Lille;BTP / Mécanique
RABAH BOUDINA;42186146900011;421861469;15 RUE GOSSELET 59000 LILLE;59000;LILLE;+33 3 74 69 69 66;50.2Z;garage;Lille;BTP / Mécanique
BERNARD DE PRIESTER;47340101600034;473401016;75 RUE HENRI GHESQUIERE 59000 LILLE;59000;LILLE;+33 3 20 54 73 61;62.41;garage;Lille;BTP / Mécanique
BERNARD AUTO SERVICE;45136415200012;451364152;12 RUE EUGENE VERMEERSCH 59000 LILLE;59000;LILLE;+33 4 74 80 03 62;45.20A;garage;Lille;BTP / Mécanique
ABDELKADER RHAZI;45165094900014;451650949;9 RUE SAINT-BERNARD 59000 LILLE;59000;LILLE;+33 6 71 78 39 25;45.20A;garage;Lille;BTP / Mécanique
SOUFIANE BARHMI (BEC);80428133500039;804281335;APPARTEMENT 07 1 RUE DE MULHOUSE 59000 LILLE;59000;LILLE;+33 3 20 30 35 20;45.20A;garage;Lille;BTP / Mécanique
SULAIMAN KAKAR (KAKAR);80479671200037;804796712;APPT 13 1 RUE ALBERT CAMUS (LOMME) 59000 LILLE;59000;LILLE;+33 3 20 30 35 20;45.20A;garage;Lille;BTP / Mécanique
ABDELATI BELBARAKA (A - M - GARAGE);80772956100017;807729561;20 B RUE AMBROISE PARE 59000 LILLE;59000;LILLE;+33 3 20 19 66 45;45.20A;garage;Lille;BTP / Mécanique
MV AUTOS;81449534700019;814495347;148 RUE KUHLMANN (LOMME) 59000 LILLE;59000;LILLE;+33 4 94 60 74 79;45.20A;garage;Lille;BTP / Mécanique
GARAGE RIGAUT (GARAGE RIGAUT);81531345700013;815313457;54 RUE KLEBER 59000 LILLE;59000;LILLE;+33 3 20 56 19 09;45.20A;garage;Lille;BTP / Mécanique
MON GARAGE SERVICE;83391154800018;833911548;30 RUE DE BELLE VUE 59000 LILLE;59000;LILLE;+33 5 49 72 70 36;45.20A;garage;Lille;BTP / Mécanique
CEDRIC SANTAMARIA;75169178300045;751691783;12 RUE COLBERT 59800 LILLE;59800;LILLE;+33 9 53 66 77 49;45.20A;garage;Lille;BTP / Mécanique
AUTO-TURBO;52750795800025;527507958;69-73 RUE DU FAUBOURG DE BETHUNE 59000 LILLE;59000;LILLE;+33 4 91 94 59 33;45.20A;garage;Lille;BTP / Mécanique
GARAGE LEMAIRE;75343113900017;753431139;80 RUE ETIENNE DOLET 59800 LILLE;59800;LILLE;+33 3 21 48 41 43;45.20A;garage;Lille;BTP / Mécanique
AUTO PARE BRISE LILLE (APB LILLE);52092125500011;520921255;491 AVENUE DE DUNKERQUE (LOMME) 59000 LILLE;59000;LILLE;+33 6 66 92 76 41;45.20A;garage;Lille;BTP / Mécanique
ATELIER SOLIDAIRE;52387489900025;523874899;55 RUE DE FLERS 59800 LILLE;59800;LILLE;+33 4 73 79 92 21;45.20A;garage;Lille;BTP / Mécanique
VANCAR;53367808200017;533678082;183 B RUE ANATOLE FRANCE (LOMME) 59000 LILLE;59000;LILLE;+33 9 66 94 55 43;45.20A;garage;Lille;BTP / Mécanique
BOUGE AUTO SERVICE;53375885000010;533758850;19 BOULEVARD DE METZ 59000 LILLE;59000;LILLE;+33 3 20 54 73 61;45.20A;garage;Lille;BTP / Mécanique
MOHAMED BOUSNINA;52945751700017;529457517;3 RUE JULES BRETON 59000 LILLE;59000;LILLE;+33 9 88 09 93 95;45.20A;garage;Lille;BTP / Mécanique
CENTRE DE MONTAGE ALI ARGUIOU;52962633500010;529626335;1 RUE EMILE ROUZE 59000 LILLE;59000;LILLE;+33 3 20 93 52 68;45.20A;garage;Lille;BTP / Mécanique
ANTHONY FOUQUET (ANTHONY);51497026800017;514970268;--23-B3 23 RUE J B LEBAS 59000 LILLE;59000;LILLE;+33 2 47 91 91 82;45.11Z;garage;Lille;BTP / Mécanique
GARAGE STAELS MECA SERVICE (SARL GARAGE SMS);50508852600023;505088526;183 B RUE ANATOLE FRANCE (LOMME) 59000 LILLE;59000;LILLE;+33 3 20 93 19 10;45.20A;garage;Lille;BTP / Mécanique
KEVIN DEFORGE (PRO CLEAN AUTO);49837306700020;498373067;41 RUE JACQUEMARS GIELEE 59800 LILLE;59800;LILLE;+33 3 76 05 25 23;45.20A;garage;Lille;BTP / Mécanique
GARAGE DESCAMPS (GARAGE DESCAMPS);89208797400010;892087974;35 RUE CHAPLIN 59000 LILLE;59000;LILLE;+33 3 20 35 30 93;45.20A;garage;Lille;BTP / Mécanique
PLATINIUM CAR;89209841900013;892098419;HELLEMMES 44 RUE DESIRE THERBY 59260 LILLE;59260;LILLE;+33 3 20 12 09 26;70.10Z;garage;Lille;BTP / Mécanique
PRECISION AUTO;89361031100019;893610311;134 RUE DES TEMPLIERS 59000 LILLE;59000;LILLE;+33 4 78 67 03 96;45.20A;garage;Lille;BTP / Mécanique
LS MECA AUTO;88893770300013;888937703;103 RUE BALZAC 59000 LILLE;59000;LILLE;+33 4 75 27 70 40;45.20A;garage;Lille;BTP / Mécanique
KEVIN CNUDDE (KEV'AUTO 59);90100455600014;901004556;BUREAU 3 38 BOULEVARD CARNOT 59800 LILLE;59800;LILLE;+33 6 69 73 01 71;45.20A;garage;Lille;BTP / Mécanique
MY JANTES;91367819900013;913678199;BUREAU 3 38 BOULEVARD CARNOT 59800 LILLE;59800;LILLE;+33 3 21 40 80 53;45.20A;garage;Lille;BTP / Mécanique
SHOOTING AUTO (SHOOTING AUTO);91396929100016;913969291;4 RUE MARX DORMOY 59000 LILLE;59000;LILLE;+33 3 20 68 14 93;45.20A;garage;Lille;BTP / Mécanique
PLANETE AUTO 59;91785374900013;917853749;491 AVENUE DE DUNKERQUE (LOMME) 59000 LILLE;59000;LILLE;+33 3 20 04 00 40;45.20A;garage;Lille;BTP / Mécanique
BG AUTOS;89797614800014;897976148;36 RUE DE BELLE VUE 59000 LILLE;59000;LILLE;+33 9 50 30 90 33;45.20A;garage;Lille;BTP / Mécanique
MANDY DESCOUTURES (LA DOUILLE DE 10);91967186700019;919671867;BAT S APT 206 4 AVENUE VERHAEREN 59000 LILLE;59000;LILLE;+33 3 20 93 49 15;45.20A;garage;Lille;BTP / Mécanique
MUMTAZ AUTOMOBILE;91240540400019;912405404;19 BOULEVARD DE METZ 59000 LILLE;59000;LILLE;+33 3 20 46 89 94;45.20A;garage;Lille;BTP / Mécanique
KADA KADDAR (HDF PARE-BRISE);87972117300034;879721173;78 BOULEVARD DE METZ 59000 LILLE;59000;LILLE;+33 3 62 27 94 25;45.20A;garage;Lille;BTP / Mécanique
DYLAN IMPINES (ELECTRO'AUTO);85133842600022;851338426;98 T BOULEVARD VICTOR HUGO 59000 LILLE;59000;LILLE;+33 6 83 76 64 12;45.20A;garage;Lille;BTP / Mécanique
PRO CAR SERVICES (PRO CAR SERVICES);93174866900013;931748669;PORTE 6 HELLEMMES 53 RUE JEANNE D'ARC 59000 LILLE;59000;LILLE;+33 6 42 91 38 93;45.20A;garage;Lille;BTP / Mécanique
