raison_sociale;telephone;adresse;code_postal;ville;siret;siren;type_etablissement;code_naf;site_web;email;source
American Car City;;;;;;;garage_auto;;;;OpenStreetMap
American Car Wash;;;;;;;garage_auto;;https://www.americancarwash.com/;;OpenStreetMap
Ametys Moto;;;;;;;garage_moto;;https://www.ametys-moto.com/;;OpenStreetMap
Aramis Auto;05 32 81 00 84;;;;;;garage_auto;;https://www.aramisauto.com/;;OpenStreetMap
Aramisauto Toulouse;;;;;;;garage_auto;;https://agences.aramisauto.com/concession/toulouse/TOU31;;OpenStreetMap
Armand Garage;;1 Chemin des Adrets;31140;;;;garage_auto;;;;OpenStreetMap
Arval Premium Center;;;;;;;garage_auto;;;;OpenStreetMap
Atelier ARES;;;;;;;garage_auto;;https://www.atelier-ares.fr/;;OpenStreetMap
Atelier Auto Service Rapide;05 61 26 38 20;;;;;;garage_auto;;;;OpenStreetMap
Audi;;;;;;;concession_auto;;;;OpenStreetMap
Audi;01 69 12 12 12;;;;;;concession_auto;;https://www.espaceparissud.com/;;OpenStreetMap
Audi At Sterling Automobiles;05 34 40 24 55;;;;;;concession_auto;;;;OpenStreetMap
Auto Parts International;;;;;;;garage_auto;;https://www.api-france.com;;OpenStreetMap
Auto Primo;;;;;;;garage_auto;;http://www.autoprimo.com/;;OpenStreetMap
Auto Pro;09 50 02 02 28;;;;;;garage_auto;;http://autospro91.fr/;;OpenStreetMap
Autoexport91;;;;;;;garage_auto;;;;OpenStreetMap
Automobile Sutter Jean-Philippe;;;;;;;garage_auto;;;;OpenStreetMap
Autos-Labège.com;;;;;;;garage_auto;;https://www.autos-labege.com;;OpenStreetMap
Autoservices;;;;;;;garage_auto;;;;OpenStreetMap
Autosphere;;;;;;;garage_auto;;;;OpenStreetMap
BMW Mini - Pelras Toulouse;;145 Rue Nicolas-Louis Vauquelin;;;;;concession_auto;;;;OpenStreetMap
Beauzelle Automobiles;05 61 42 58 99;;;;;;garage_auto;;https://www.citroenbeauzelle.com/;;OpenStreetMap
Behra Morangis Automobiles;01 69 79 11 00;;;;;;garage_auto;;http://morangis.groupebehra.fr/;;OpenStreetMap
Brands Motos Shop;;;;;;;garage_moto;;;;OpenStreetMap
Brough Superior Motorcycles;;20 Rue Jean Monnet;;;;;garage_moto;;https://www.broughsuperiormotorcycles.com/fr/;;OpenStreetMap
Bye Buy Car;;;;;;;garage_auto;;https://bye-buy-car.com/nos-agences/;;OpenStreetMap
CARROSSERIE PEREZ AXIAL;05 62 88 98 68;;;;;;carrossier_auto;;https://www.carrosserieperez.fr/;;OpenStreetMap
CJC Véhicules Industriels;;4374 Route de Baziège La Lauragaise;;;;;garage_auto;;;;OpenStreetMap
Carglass;;;;;;;garage_auto;;;;OpenStreetMap
Carglass;;;;;;;garage_auto;;;;OpenStreetMap
Carglass;;;;;;;garage_auto;;;;OpenStreetMap
Carglass;;;;;;;garage_auto;;;;OpenStreetMap
Carglass;;;;;;;garage_auto;;;;OpenStreetMap
Carosserie AD Lava - Toulouse;05 61 49 16 95;;;;;;garage_auto;;;;OpenStreetMap
Carosserie Fourcade;;;;;;;garage_auto;;;;OpenStreetMap
Carrier transicold;;;;;;;garage_auto;;;;OpenStreetMap
Carros'Orel;;;;;;;garage_auto;;;;OpenStreetMap
Carrosserie Alarcon;;;;;;;carrossier_auto;;;;OpenStreetMap
Carrosserie Besset;05 61 58 16 17;;;;;;carrossier_auto;;;;OpenStreetMap
Carrosserie Cazalé;;20 Allée de Blanquette;;;;;carrossier_auto;;;;OpenStreetMap
Carrosserie Costes;;231 bis Route de Grenade;;;;;carrossier_auto;;https://five-star.fr/carrosseries/536-carrosserie-costes;;OpenStreetMap
Carrosserie GT;;;;;;;carrossier_auto;;;;OpenStreetMap
Carrosserie Moga;;;;;;;carrossier_auto;;;;OpenStreetMap
Carrosserie Morsantoise;;;;;;;carrossier_auto;;;;OpenStreetMap
Carrosserie Peugeot;;;;;;;carrossier_auto;;;;OpenStreetMap
Carrosserie Saint-Simon;;;;;;;carrossier_auto;;;;OpenStreetMap
Carrosserie Santa Cruz;;;;;;;carrossier_auto;;;;OpenStreetMap
Carrosserie Toniol;;;;;;;carrossier_auto;;;;OpenStreetMap
Carrosserie Toniol;;;;;;;carrossier_auto;;;;OpenStreetMap
Carrosserie de Venise;;;;;;;carrossier_auto;;;;OpenStreetMap
Carrosserie united;;;;;;;carrossier_auto;;;;OpenStreetMap
Carter Cash;;;;;;;garage_auto;;;;OpenStreetMap
Carter-cash;;;;;;;garage_auto;;;;OpenStreetMap
Cazenave Pièces Auto;;;;;;;garage_auto;;;;OpenStreetMap
Centre Auto;;;;;;;garage_auto;;https://www.points.fr/centre/bl-auto-services-labege/;;OpenStreetMap
Centre Porsche de Toulouse;;;;;;;garage_auto;;;;OpenStreetMap
Citroën;;;;;;;concession_auto;;;;OpenStreetMap
Citroën;;;;;;;concession_auto;;;;OpenStreetMap
Citroën;;;;;;;concession_auto;;;;OpenStreetMap
Citroën;;;;;;;concession_auto;;;;OpenStreetMap
Citroën;01 60 85 23 00;70 Avenue Charles de Gaulle;;;;;concession_auto;;https://reseau.citroen.fr/bretigny-sur-orge/?location=BRETIGNY+SUR+ORGE%7C0;;OpenStreetMap
Citroën;;;;;;;concession_auto;;;;OpenStreetMap
Citroën - Garage Ponsin;;;;;;;concession_auto;;;;OpenStreetMap
Citroën Psa Retail Toulouse Rocade Ouest;05 34 50 17 37;;;;;;concession_auto;;;;OpenStreetMap
Citroën – Automobiles du Kiosque;01 49 61 32 49;13 Place Amédée Soupault;;;;;concession_auto;;https://www.automobilesdukiosque.fr/;;OpenStreetMap
Come Et Bardon;;;;;;;garage_auto;;;;OpenStreetMap
Concession Citroën & DS;;;;;;;concession_auto;;;;OpenStreetMap
Concessionnaire Jaguar;;;;;;;concession_auto;;;;OpenStreetMap
Concessionnaire Land Rover;;;;;;;concession_auto;;;;OpenStreetMap
Concessionnaire Mazda;;;;;;;concession_auto;;;;OpenStreetMap
Concessionnaire Peugeot;05 62 19 19 19;;;;;;concession_auto;;https://concessions.peugeot.fr/ramonville/;;OpenStreetMap
Consessionaire Agréé Fiat;;;;;;;concession_auto;;;;OpenStreetMap
Corbeil Services Auto;;;;;;;garage_auto;;;;OpenStreetMap
Cugnaux Cycles & Motoculture;;;;;;;garage_moto;;;;OpenStreetMap
DBF Toulouse Automobiles;;;;;;;garage_auto;;;;OpenStreetMap
DELKO;05 61 59 93 74;;;;;;garage_auto;;https://delko.fr/garage/delko/beauzelle/219;;OpenStreetMap
DMG Automobiles;;12 Allée du Catchère;;;;;garage_auto;;;;OpenStreetMap
DS Store;;;;;;;concession_auto;;;;OpenStreetMap
Dacia;;;;;;;concession_auto;;;;OpenStreetMap
Dacia Toulouse Montaudran - Edenauto;05 62 47 87 87;;;;;;concession_auto;;https://dacia-toulouse-montaudran.edenauto.com/;;OpenStreetMap
Dacia Toulouse Rocade Ouest - Edenauto;05 61 19 21 21;;;;;;concession_auto;;https://dacia-toulouse-rocade.edenauto.com/;;OpenStreetMap
Dacia Toulouse États-Unis - Edenauto;05 61 10 75 75;;;;;;concession_auto;;https://dacia-toulouse-etats-unis.edenauto.com/;;OpenStreetMap
Daf;;;;;;;garage_auto;;;;OpenStreetMap
Dafy Moto;;;;;;;garage_moto;;;;OpenStreetMap
Daihatsu - Hyunadi - Automobiles Delahaye;;;;;;;garage_auto;;;;OpenStreetMap
Dainese;01 60 88 04 21;;;;;;garage_moto;;https://www.dainese.com;;OpenStreetMap
De Oliveira Automobiles;05 61 74 75 74;2 Impasse du Grand Rond;;;;;garage_auto;;https://deoliveira-automobiles.fr/;;OpenStreetMap
De Vinci Automobiles;;;;;;;garage_auto;;;;OpenStreetMap
Deal Auto;;;;;;;garage_auto;;;;OpenStreetMap
Debard Automobiles;05 61 00 90 90;;;;;;garage_auto;;http://www.debardautomobiles.com/agences.php;;OpenStreetMap
Delko;05 61 08 62 85;;;;;;garage_auto;;https://delko.fr/garage/delko/labarthe-sur-leze/137;;OpenStreetMap
Delko;05 61 17 08 08;;;;;;garage_auto;;https://delko.fr/garage/delko/balma/33;;OpenStreetMap
Delko;05 61 70 05 43;;;;;;garage_auto;;https://delko.fr/garage/delko/gratentour/34;;OpenStreetMap
Delko;05 61 63 44 13;;;;;;garage_auto;;https://delko.fr/garage/delko/plaisance-du-touch/56;;OpenStreetMap
Distinxion;05 61 76 07 60;;;;;;garage_auto;;https://www.autos.fr/andrioloauto;;OpenStreetMap
Distinxion;01 43 82 17 02;;;;;;garage_auto;;https://www.garage-rabes.com/occasions.php;;OpenStreetMap
Ducati;05 61 00 20 20;;;;;;garage_moto;;https://www.ducatitoulouse.fr/;;OpenStreetMap
Ducati;01 78 83 04 74;;;;;;garage_moto;;;;OpenStreetMap
Dégriff Auto;"+33 6 68 61 02 99; +33 9 53 43 94 90";80 Route de Labège;;;;;garage_auto;;https://www.degriff-auto.fr/plan-toulouse-route-de-labege.php;;OpenStreetMap
Edenauto Alpine Store Toulouse;05 61 10 75 80;;;;;;garage_auto;;https://alpine-toulouse.edenauto.com/;;OpenStreetMap
EnchèresVO;;;;;;;garage_auto;;https://encheres-vo.com/ventes-encheres-toulouse;;OpenStreetMap
Etoile 91;;;;;;;garage_auto;;;;OpenStreetMap
Ets. JC Legallou;;157 Avenue du Général de Gaulle;;;;;garage_auto;;https://www.auto-legallou.fr/;;OpenStreetMap
Euro Automobiles;;;;;;;garage_auto;;;;OpenStreetMap
Euromaster;05 62 87 49 30;;;;;;garage_auto;;;;OpenStreetMap
Euromaster;;;;;;;garage_auto;;;;OpenStreetMap
Euromaster;;1 Avenue Édouard Serres;;;;;garage_auto;;;;OpenStreetMap
Euromaster;;1 Route de Bessières;;;;;garage_auto;;https://centres.euromaster.fr/419-le-pneu-l-union-entreprise-independante-franchisee-du-reseau-euromaster-centre-auto-et-vehicules-industriels-vl-vi;;OpenStreetMap
Euromaster;;;;;;;garage_auto;;;;OpenStreetMap
Euromaster;;;;;;;garage_auto;;;;OpenStreetMap
Euromaster;;;;;;;garage_auto;;;;OpenStreetMap
Ewigo;05 67 63 08 18;;;;;;garage_auto;;https://toulouse-nord-ewigo.com/;;OpenStreetMap
Ewigo;05 31 61 88 30;;;;;;garage_auto;;;;OpenStreetMap
Ewigo;01 75 66 19 36;;;;;;garage_auto;;https://corbeil-essonnes-ewigo.com/;;OpenStreetMap
Ewigo;01 69 04 89 34;;;;;;garage_auto;;https://sainte-genevieve-des-bois-ewigo.com/;;OpenStreetMap
Ewigo;01 69 96 71 43;;;;;;garage_auto;;;;OpenStreetMap
FCA;;;;;;;garage_auto;;;;OpenStreetMap
Ferreyra et ses fils;;;;;;;garage_auto;;;;OpenStreetMap
Feu Vert;05 62 75 89 41;;;;;;garage_auto;;;;OpenStreetMap
Feu Vert;05 61 00 83 50;;;;;;garage_auto;;https://www.feuvert.fr/centres-auto/labege/feu-vert-toulouse-labege/355.html;;OpenStreetMap
Feu Vert;05 62 74 81 00;;;;;;garage_auto;;https://www.feuvert.fr/centres-auto/toulouse-purpan/feu-vert-purpan/357.html;;OpenStreetMap
Feu Vert;05 62 87 37 90;;;;;;garage_auto;;https://www.feuvert.fr/centres-auto/portet-sur-garonne/feu-vert-toulouse-portet-sur-garonne/356.html;;OpenStreetMap
Feu Vert;01 64 13 60 97;;;;;;garage_auto;;https://www.feuvert.fr/centres-auto/lieusaint/feu-vert-lieusaint-carre-senart/337.html;;OpenStreetMap
Feu Vert Athis-Mons;01 60 48 16 63;;;;;;garage_auto;;https://www.feuvert.fr/centres-auto/athis-mons/feu-vert-athis-mons/309.html;;OpenStreetMap
Feu Vert Muret;05 34 46 85 00;;;;;;garage_auto;;;;OpenStreetMap
Feu Vert Services;01 60 18 04 82;;;;;;garage_auto;;;;OpenStreetMap
Feu Vert Services Portet Sur Garonne;05 61 72 14 24;;;;;;garage_auto;;;;OpenStreetMap
Feu Vert Services Toulouse;05 61 49 02 01;;;;;;garage_auto;;;;OpenStreetMap
Fiat;;;;;;;concession_auto;;;;OpenStreetMap
Fiat Professional;;;;;;;concession_auto;;;;OpenStreetMap
Fixauto;;11 Avenue Édouard Serres;;;;;garage_auto;;;;OpenStreetMap
Ford;05 61 36 86 86;;;;;;concession_auto;;https://www.ford-toulouse.fr;;OpenStreetMap
Ford;05 61 36 86 86;;;;;;concession_auto;;https://www.ford-toulouse.fr;;OpenStreetMap
Ford;05 62 11 61 61;;;;;;concession_auto;;https://www.fordautoservices.fr/;;OpenStreetMap
Ford;01 60 85 26 00;;;;;;concession_auto;;https://www.jallu-berthier.com;;OpenStreetMap
Fr Automobiles;05 61 78 10 69;15 Allée du Catchère;;;;;garage_auto;;;;OpenStreetMap
France Parbrise;;;;;;;garage_auto;;;;OpenStreetMap
France Pare-Brise;05 61 34 20 23;;;;;;garage_auto;;;;OpenStreetMap
France Pare-Brise;05 61 40 04 00;;;;;;garage_auto;;;;OpenStreetMap
France Pare-Brise;;72 Route d'Agde;;;;;garage_auto;;;;OpenStreetMap
France Pare-Brise;;;;;;;garage_auto;;;;OpenStreetMap
Francis Auto;;16 Avenue de la Libération;;;;;garage_auto;;;;OpenStreetMap
Futur Auto 31;05 61 76 52 31;6 Chemin de la Violette;;;;;garage_auto;;https://futurauto31.business.site;;OpenStreetMap
G.L.M Auto Course;05 61 31 81 31;;;;;;garage_auto;;;;OpenStreetMap
GARAGE LE VILLAGE - ANTONY;;;;;;;garage_auto;;;;OpenStreetMap
GAS Garage;05 61 83 59 30;2 Avenue de la Mouyssaguese;;;;;garage_auto;;;;OpenStreetMap
GH Auto;05 61 78 81 33;;;;;;garage_auto;;;;OpenStreetMap
Garage 3J;;;;;;;garage_auto;;;;OpenStreetMap
Garage Alex Auto;05 61 78 12 16;;;;;;garage_auto;;https://www.garage-alexauto.com/;;OpenStreetMap
Garage Baldo;;;;;;;garage_auto;;;;OpenStreetMap
Garage Barthel et fils;;;;;;;garage_auto;;;;OpenStreetMap
Garage Botteon;05 61 35 86 82;21 bis Route de Paris;;;;;garage_auto;;https://www.garagebotteon.com/contact;;OpenStreetMap
Garage Bouscatel - Groupe Dubreil;05 61 72 39 67;;;;;;garage_auto;;https://www.groupedubreil.com/;;OpenStreetMap
Garage Chateaudun;05 61 62 93 38;;;;;;garage_auto;;;;OpenStreetMap
Garage Cousseau;05 82 95 34 25;5 Allée des Sports;;;;;garage_auto;;http://www.garage-cousseau-31.com/;;OpenStreetMap
Garage Custo;07 81 99 85 40;;;;;;garage_auto;;;;OpenStreetMap
Garage FLG Autos;;;;;;;garage_auto;;;;OpenStreetMap
Garage Falguière;05 61 62 63 60;;;;;;garage_auto;;;;OpenStreetMap
Garage Fraysse;;;;;;;garage_auto;;;;OpenStreetMap
Garage Garail;;;;;;;garage_auto;;;;OpenStreetMap
Garage Gheusi;05 61 80 88 69;21 Place Marius Pinel;31500;;;;garage_auto;;;;OpenStreetMap
Garage Hug Motors;05 81 97 06 60;;;;;;garage_moto;;https://www.hugmotors.com/;;OpenStreetMap
Garage J2M AUTO Technicar Services;;3 Avenue du Docteur Louis Franc Fichez;;;;;garage_auto;;https://www.technicar-services.fr;;OpenStreetMap
Garage Jarguel;;;;;;;garage_auto;;;;OpenStreetMap
Garage Jones;;12 Allée du Catchère;;;;;garage_auto;;;;OpenStreetMap
Garage Lafforgue - Peugeot;;24 Rue des Briquetiers;;;;;concession_auto;;;;OpenStreetMap
Garage Laporte;05 61 24 51 51;;;;;;garage_auto;;;;OpenStreetMap
Garage Lecour;;9 bis Impasse Louis de Froidour;;;;;garage_auto;;;;OpenStreetMap
Garage Massot;05 61 85 18 04;;;;;;garage_auto;;https://www.garage-massot-aussonne.fr;;OpenStreetMap
Garage Montaigutois;;;;;;;garage_auto;;;;OpenStreetMap
Garage Nicol;05 61 48 32 08;;;;;;garage_auto;;https://reseau.citroen.fr/reparateur-toulouse-1/?location=TOULOUSE%7C0;;OpenStreetMap
Garage Offer;05 61 59 25 93;;;;;;garage_auto;;;;OpenStreetMap
Garage Puleo;;;;;;;garage_auto;;;;OpenStreetMap
Garage Ramat;;;;;;;garage_auto;;;;OpenStreetMap
Garage Ramat;05 61 15 50 25;;;;;;garage_auto;;;;OpenStreetMap
Garage Richart;05 61 24 00 98;;;;;;garage_auto;;https://concessions.peugeot.fr/quint-fonsegrives/;;OpenStreetMap
Garage Rosete;;38 Chemin des Sevennes;;;;;garage_auto;;;;OpenStreetMap
Garage Saint-Agne;;;;;;;garage_auto;;;;OpenStreetMap
Garage Salambo;;3 Rue Salambo;;;;;garage_auto;;;;OpenStreetMap
Garage Sottom;;3 Allée de Sisteron;;;;;garage_auto;;;;OpenStreetMap
Garage Thomas;;;;;;;garage_auto;;;;OpenStreetMap
Garage Tisserand;;;;;;;garage_auto;;;;OpenStreetMap
Garage Toulouse Blagnac Motors AD Expert;;231 Route de Grenade;;;;;garage_moto;;https://www.ad.fr/garage/garage-toulouseblagnacmotors;;OpenStreetMap
Garage Vautour Sarl - Citroën;05 61 49 32 41;;;;;;concession_auto;;;;OpenStreetMap
Garage Wilson;;;;;;;garage_auto;;;;OpenStreetMap
Garage de Rangueil;;;;;;;garage_auto;;;;OpenStreetMap
Garage de Seine Port Agent Peugeot;01 64 41 85 85;;;;;;concession_auto;;;;OpenStreetMap
Garage de la Lèze;05 61 91 61 56;;;;;;garage_auto;;;;OpenStreetMap
Garage de la Ramée;;;;;;;garage_auto;;;;OpenStreetMap
Garage des 4 Communes;;;;;;;garage_auto;;;;OpenStreetMap
Garage des Epinettes;;;;;;;garage_auto;;;;OpenStreetMap
Garage du Château;;;;;;;garage_auto;;;;OpenStreetMap
Garage du Cèdre;;;;;;;garage_auto;;;;OpenStreetMap
Garage du Lac;01 69 02 15 15;;;;;;garage_auto;;https://concessions.peugeot.fr/grigny/;;OpenStreetMap
Garage du Pinet;;;;;;;garage_auto;;;;OpenStreetMap
Garage du Reveil Matin;;;;;;;garage_auto;;;;OpenStreetMap
Garage du boulevard (anciennement garage Koob);;;;;;;garage_auto;;https://www.au-magasin.fr/31000-toulouse/garage-koob-312291.html;;OpenStreetMap
Gomes Carrosserie;;;;;;;carrossier_auto;;;;OpenStreetMap
Grand Garage Feray;;;;;;;garage_auto;;;;OpenStreetMap
Grand garage de l'Essonne Mercedes-Benz Smart;;;;;;;concession_auto;;;;OpenStreetMap
Hertz;;;;;;;garage_auto;;;;OpenStreetMap
Honda Labège Autosport;;;;;;;concession_auto;;;;OpenStreetMap
Honda Moto 91;;;;;;;garage_moto;;;;OpenStreetMap
Hot Bikes;;;;;;;garage_moto;;;;OpenStreetMap
Hyundai;;;;;;;concession_auto;;;;OpenStreetMap
Hyundai Toulouse Sud Labège;;;;;;;concession_auto;;https://www.hyundai.com/fr/distributeurs.html/l/labege/3690-route-de-baziege-la-lauragaise/c06ab00066;;OpenStreetMap
Jumbo Pneus;;;;;;;garage_auto;;;;OpenStreetMap
Kawasaki;;;;;;;garage_moto;;;;OpenStreetMap
Kia;;;;;;;concession_auto;;https://www.kia.com/fr/concessions/amk-toulouse-labege/;;OpenStreetMap
Kia;;;;;;;concession_auto;;;;OpenStreetMap
Kia;;;;;;;concession_auto;;;;OpenStreetMap
L'agence Automobilière;;;;;;;garage_auto;;https://agenceauto.com/;;OpenStreetMap
L'auto E. Leclerc;;;;;;;garage_auto;;;;OpenStreetMap
L'auto E. Leclerc;05 61 15 62 36;;;;;;garage_auto;;http://www.e-leclerc.com/blagnac/magasins-specialises/auto/info-auto;;OpenStreetMap
L'auto E. Leclerc;;Allée des Champs Pinsons;;;;;garage_auto;;;;OpenStreetMap
L'auto E. Leclerc;;;;;;;garage_auto;;;;OpenStreetMap
LMD automobile;;;;;;;garage_auto;;;;OpenStreetMap
La Scooteria;05 61 23 72 00;;;;;;garage_moto;;https://www.hot-bikes.fr/magasins/magasin-scooter/;;OpenStreetMap
Labège Motors;;;;;;;garage_moto;;https://toulouse.opelreseau.fr/notre-concession/nous-contacter/labege/;;OpenStreetMap
Le Garage Toulousain;;;;;;;garage_auto;;https://legaragetoulousain.fr;;OpenStreetMap
Ligier Store;05 34 31 03 65;;;;;;garage_auto;;;;OpenStreetMap
Ligier Store;01 60 15 66 99;;;;;;garage_auto;;https://www.mobilitesanspermis.fr/;;OpenStreetMap
Ligier Store;01 45 98 90 64;;;;;;garage_auto;;;;OpenStreetMap
Look Autos;;;;;;;garage_auto;;;;OpenStreetMap
MG Motor;01 86 57 00 20;;;;;;garage_moto;;https://www.mgmotor-archipelautos.fr/;;OpenStreetMap
MK Auto 91;09 55 74 06 52;;;;;;garage_auto;;https://mkauto91.fr/;;OpenStreetMap
MTR Motorsport;;54 Rue Amand Louis;91710;;;;garage_moto;;;;OpenStreetMap
Mag Motors;;;;;;;garage_moto;;https://www.magmotors-automobiles-toulouse.fr;;OpenStreetMap
Maxxess;;;;;;;garage_moto;;https://www.maxxess.fr/magasins/31-maxxess-toulouse-9126;;OpenStreetMap
Mecapeintol;;;;;;;garage_auto;;;;OpenStreetMap
Mercedes-Benz;05 61 51 80 25;;;;;;concession_auto;;https://www.lg-automobiles.mercedes-benz.fr;;OpenStreetMap
Merville Auto;;;;;;;garage_auto;;;;OpenStreetMap
Mg Motor;05 62 19 23 00;;;;;;garage_moto;;https://www.groupepeyrot.com/concessions/mg-motor/mg-motor-labege;;OpenStreetMap
Mg Motor;05 54 07 08 54;;;;;;garage_moto;;https://www.groupepeyrot.com/concessions/mg-motor/mg-motor-muret;;OpenStreetMap
Mg Motor;05 34 42 26 27;;;;;;garage_moto;;https://www.groupepeyrot.com/concessions/mg-motor/mg-motor-toulouse;;OpenStreetMap
Midas;05 61 53 98 39;;;;;;garage_auto;;https://www.midas.fr/centres-auto-midas/occitanie/haute-garonne/toulouse/toulouse-rte-narbonne_1132;;OpenStreetMap
Midas;;;;;;;garage_auto;;;;OpenStreetMap
Midas;05 61 13 35 35;;;;;;garage_auto;;https://www.midas.fr/;;OpenStreetMap
Midas;;106 Avenue de la Division Leclerc;;;;;garage_auto;;;;OpenStreetMap
Midas;01 60 77 86 16;;;;;;garage_auto;;https://www.midas.fr/;;OpenStreetMap
Midi Diesel;05 61 42 80 11;;;;;;garage_auto;;https://concessions.peugeot.fr/toulouse/;;OpenStreetMap
Midi Pyrénées Automobiles;;;;;;;garage_auto;;;;OpenStreetMap
Mirail motors;;;;;;;garage_moto;;http://mirail-motors.chacun-son-auto.com/;;OpenStreetMap
Mitsubishi Motors;05 61 10 75 75;;;;;;garage_moto;;;;OpenStreetMap
Mitsubishi Motors Toulouse Sud;;;;;;;garage_moto;;https://www.mitsubishi-motors-toulouse-sud.fr;;OpenStreetMap
Modena Sport Ferrari Maserati;;;;;;;garage_auto;;;;OpenStreetMap
Mondial Pare-Brise;;;;;;;garage_auto;;;;OpenStreetMap
Mondial Pare-Brise;01 69 00 69 69;;;;;;garage_auto;;https://www.mondialparebrise.fr/;;OpenStreetMap
Morsang Automobiles;;;;;;;garage_auto;;;;OpenStreetMap
Moto Expert;;2 Avenue d'Atlanta;;;;;garage_moto;;https://magasins.motoexpert.fr/magasins/toulouse/accueil.html;;OpenStreetMap
Motrio;;;;;;;garage_auto;;;;OpenStreetMap
Motrio - Garage Domingues;;;;;;;garage_auto;;;;OpenStreetMap
My Scoot Toulouse;05 61 59 78 60;;;;;;garage_moto;;https://www.toulouse-motos-cycles.com/;;OpenStreetMap
Mécaniquement Votre;;;;;;;garage_auto;;;;OpenStreetMap
Nissan;;;;;;;concession_auto;;;;OpenStreetMap
Nissan;;;;;;;concession_auto;;;;OpenStreetMap
Nissan Laudis Automobiles;;;;;;;concession_auto;;https://www.nissan-toulouse-labege.fr;;OpenStreetMap
Norauto;;;;;;;garage_auto;;;;OpenStreetMap
Norauto;;;;;;;garage_auto;;;;OpenStreetMap
Norauto;05 61 61 91 61;;;;;;garage_auto;;;;OpenStreetMap
Norauto;;;;;;;garage_auto;;;;OpenStreetMap
Norauto;;Boulevard de l'Europe;;;;;garage_auto;;;;OpenStreetMap
Norauto;;;;;;;garage_auto;;;;OpenStreetMap
Norauto;;;;;;;garage_auto;;;;OpenStreetMap
Norauto;;;;;;;garage_auto;;;;OpenStreetMap
Norauto;01 69 73 24 70;4 Rue des Gaulois;;;;;garage_auto;;;;OpenStreetMap
Odyssey Performance;05 61 61 50 72;;;;;;garage_auto;;;;OpenStreetMap
Opel;;;;;;;concession_auto;;;;OpenStreetMap
PPY Performance;;;;;;;garage_auto;;;;OpenStreetMap
Pack'Tole;;2 Chemin de la Plaine;;;;;garage_auto;;;;OpenStreetMap
Peiro;;;;;;;garage_auto;;;;OpenStreetMap
Pep's Motos;;;;;;;garage_moto;;;;OpenStreetMap
Peugeot;05 61 07 17 18;;;;;;concession_auto;;https://concessions.peugeot.fr/tournefeuille/;;OpenStreetMap
Peugeot;;;;;;;concession_auto;;;;OpenStreetMap
Peugeot;;;;;;;concession_auto;;;;OpenStreetMap
Peugeot;05 34 50 19 19;;;;;;concession_auto;;https://concessions.peugeot.fr/toulouse-rocade/;;OpenStreetMap
Peugeot;;;;;;;concession_auto;;;;OpenStreetMap
Peugeot;;;;;;;concession_auto;;;;OpenStreetMap
